,date,revenue,earnings,actual,estimate,ticker,as_of_date
5190,4Q2019,5382000000.0,288000000,4.91,4.27,WHR,2020-04-30
5191,1Q2019,680882000.0,61517000,1.22,1.05,QRVO,2020-04-30
5192,2Q2019,775598000.0,39541000,1.36,1.15,QRVO,2020-04-30
5193,3Q2019,806698000.0,83038000,1.52,1.3,QRVO,2020-04-30
5194,4Q2019,869073000.0,161356000,1.86,1.68,QRVO,2020-04-30
5195,1Q2019,1192100000.0,215700000,1.72,1.62,FMC,2020-04-30
5196,2Q2019,1206100000.0,174500000,1.66,1.65,FMC,2020-04-30
5197,3Q2019,1014300000.0,90400000,0.94,0.81,FMC,2020-04-30
5198,4Q2019,1197300000.0,-3200000,1.76,1.54,FMC,2020-04-30
5199,2Q2019,6623185000.0,385013000,1.48,1.39,DG,2020-04-30
5200,3Q2019,6981753000.0,426555000,1.74,1.57,DG,2020-04-30
5201,4Q2019,6991393000.0,365550000,1.42,1.38,DG,2020-04-30
5202,1Q2020,7157642000.0,535437000,2.1,2.01,DG,2020-04-30
5203,2Q2019,12602000000.0,783000000,2.21,2.46,HCA,2020-04-30
5204,3Q2019,12694000000.0,612000000,2.23,2.13,HCA,2020-04-30
5205,4Q2019,13523000000.0,1071000000,3.09,3.09,HCA,2020-04-30
5206,1Q2020,12861000000.0,581000000,2.33,2.64,HCA,2020-04-30
5207,1Q2019,1651546000.0,104872000,1.61,1.6,WYNN,2020-04-30
5208,2Q2019,1658332000.0,94551000,1.44,1.44,WYNN,2020-04-30
5209,3Q2019,1647762000.0,-3496000,0.17,0.9,WYNN,2020-04-30
5210,4Q2019,1653459000.0,-72942000,0.86,0.91,WYNN,2020-04-30
5211,1Q2019,4389000000.0,1120000000,,,MO,2020-04-30
5212,2Q2019,5193000000.0,1996000000,1.1,1.11,MO,2020-04-30
5213,3Q2019,5412000000.0,-2600000000,1.19,1.15,MO,2020-04-30
5214,4Q2019,4802000000.0,-1809000000,1.02,1.02,MO,2020-04-30
5215,1Q2019,4476000000.0,-222000000,,,CTVA,2020-04-30
5216,2Q2019,5556000000.0,-608000000,1.42,0.99,CTVA,2020-04-30
5217,3Q2019,1911000000.0,-494000000,-0.39,-0.46,CTVA,2020-04-30
5218,4Q2019,2983000000.0,-21000000,0.07,-0.12,CTVA,2020-04-30
5219,2Q2019,3539000000.0,666000000,0.7,0.66,AMAT,2020-04-30
5220,3Q2019,3562000000.0,571000000,0.74,0.7,AMAT,2020-04-30
5221,4Q2019,3754000000.0,698000000,0.8,0.76,AMAT,2020-04-30
5222,1Q2020,4162000000.0,892000000,0.98,0.93,AMAT,2020-04-30
5223,2Q2019,3616700000.0,1494100000,9.15,7.53,BIIB,2020-04-30
5224,3Q2019,3600100000.0,1545900000,9.17,8.27,BIIB,2020-04-30
5225,4Q2019,3671300000.0,1439700000,8.34,8.02,BIIB,2020-04-30
5226,1Q2020,3534300000.0,1399100000,9.14,7.73,BIIB,2020-04-30
5227,2Q2019,10184000000.0,989000000,0.62,0.66,NKE,2020-04-30
5228,3Q2019,10660000000.0,1367000000,0.86,0.7,NKE,2020-04-30
5229,4Q2019,10326000000.0,1115000000,0.7,0.58,NKE,2020-04-30
5230,1Q2020,10104000000.0,847000000,0.53,0.59,NKE,2020-04-30
5231,2Q2019,4906300000.0,474800000,1.26,1.07,DHI,2020-04-30
5232,3Q2019,5038900000.0,505300000,1.35,1.25,DHI,2020-04-30
5233,4Q2019,4020700000.0,431300000,1.16,0.92,DHI,2020-04-30
5234,1Q2020,4500000000.0,482700000,1.3,1.12,DHI,2020-04-30
5235,1Q2019,1270000000.0,484000000,,,ICE,2020-04-30
5236,2Q2019,1298000000.0,472000000,0.94,0.92,ICE,2020-04-30
5237,3Q2019,1336000000.0,529000000,1.06,0.96,ICE,2020-04-30
5238,4Q2019,1298000000.0,448000000,0.95,0.95,ICE,2020-04-30
5239,1Q2019,813000000.0,113000000,0.61,0.63,AWK,2020-04-30
5240,2Q2019,882000000.0,170000000,0.94,0.93,AWK,2020-04-30
5241,3Q2019,1013000000.0,240000000,1.33,1.3,AWK,2020-04-30
5242,4Q2019,902000000.0,98000000,0.73,0.73,AWK,2020-04-30
5243,1Q2019,1164000000.0,-317000000,0.36,0.28,DVN,2020-04-30
5244,2Q2019,1855000000.0,495000000,0.23,0.34,DVN,2020-04-30
5245,3Q2019,1787000000.0,109000000,0.29,0.16,DVN,2020-04-30
5246,4Q2019,1163000000.0,-642000000,0.36,0.32,DVN,2020-04-30
5247,1Q2019,10991500000.0,315500000,,,DOW,2020-04-30
5248,2Q2019,11014000000.0,75000000,0.86,0.84,DOW,2020-04-30
5249,3Q2019,10764000000.0,333000000,0.91,0.73,DOW,2020-04-30
5250,4Q2019,10204000000.0,-2323000000,0.78,0.74,DOW,2020-04-30
5251,2Q2019,8171000000.0,1127000000,2.13,2.05,MMM,2020-04-30
5252,3Q2019,7991000000.0,1583000000,2.58,2.49,MMM,2020-04-30
5253,4Q2019,8111000000.0,969000000,2.15,2.1,MMM,2020-04-30
5254,1Q2020,8075000000.0,1292000000,2.16,2.03,MMM,2020-04-30
5255,1Q2019,3100303000.0,98048000,,,LKQ,2020-04-30
5256,2Q2019,3248173000.0,150561000,0.65,0.64,LKQ,2020-04-30
5257,3Q2019,3147773000.0,152263000,0.61,0.58,LKQ,2020-04-30
5258,4Q2019,3009860000.0,140388000,0.54,0.52,LKQ,2020-04-30
5259,1Q2019,1876000000.0,4000000,0.17,0.12,ALK,2020-04-30
5260,2Q2019,2288000000.0,262000000,2.17,2.13,ALK,2020-04-30
5261,3Q2019,2389000000.0,322000000,2.63,2.52,ALK,2020-04-30
5262,4Q2019,2228000000.0,181000000,1.46,1.41,ALK,2020-04-30
5263,2Q2019,5909000000.0,741000000,1.37,1.34,LUV,2020-04-30
5264,3Q2019,5639000000.0,659000000,1.23,1.08,LUV,2020-04-30
5265,4Q2019,5730000000.0,513000000,1.16,1.09,LUV,2020-04-30
5266,1Q2020,4234000000.0,-94000000,-0.15,-0.41,LUV,2020-04-30
5267,2Q2019,2065000000.0,753000000,2.32,2.11,DFS,2020-04-30
5268,3Q2019,2101000000.0,770000000,2.36,2.28,DFS,2020-04-30
5269,4Q2019,2108000000.0,708000000,2.25,2.24,DFS,2020-04-30
5270,1Q2020,1559000000.0,-61000000,-0.25,0.78,DFS,2020-04-30
5271,1Q2019,3965000000.0,252000000,2.14,2.04,LNC,2020-04-30
5272,2Q2019,4310000000.0,363000000,2.36,2.36,LNC,2020-04-30
5273,3Q2019,4638000000.0,-161000000,-0.25,2.41,LNC,2020-04-30
5274,4Q2019,4345000000.0,432000000,2.41,2.41,LNC,2020-04-30
5275,1Q2019,946200000.0,39200000,0.49,0.39,XRAY,2020-04-30
5276,2Q2019,1009400000.0,36400000,0.66,0.63,XRAY,2020-04-30
5277,3Q2019,962100000.0,85000000,0.57,0.5,XRAY,2020-04-30
5278,4Q2019,1111500000.0,102300000,0.73,0.75,XRAY,2020-04-30
5279,1Q2019,1711800000.0,461100000,4.45,5.47,REGN,2020-04-30
5280,2Q2019,1933700000.0,193100000,6.02,5.41,REGN,2020-04-30
5281,3Q2019,2048400000.0,669600000,6.67,6.36,REGN,2020-04-30
5282,4Q2019,2169500000.0,792000000,7.5,6.92,REGN,2020-04-30
5283,2Q2019,1368400000.0,204600000,0.36,0.37,FAST,2020-04-30
5284,3Q2019,1379100000.0,213500000,0.37,0.35,FAST,2020-04-30
5285,4Q2019,1276900000.0,178700000,0.31,0.31,FAST,2020-04-30
5286,1Q2020,1367000000.0,202600000,0.35,0.34,FAST,2020-04-30
5287,2Q2019,1035400000.0,180400000,3.22,3.21,SNA,2020-04-30
5288,3Q2019,985900000.0,164600000,2.96,2.94,SNA,2020-04-30
5289,4Q2019,1039100000.0,170600000,3.08,3.08,SNA,2020-04-30
5290,1Q2020,938100000.0,137200000,2.6,2.7,SNA,2020-04-30
5291,1Q2019,1592900000.0,164400000,,,FTV,2020-04-30
5292,2Q2019,1864700000.0,174600000,0.9,0.89,FTV,2020-04-30
5293,3Q2019,1860000000.0,207100000,0.87,0.87,FTV,2020-04-30
5294,4Q2019,2002400000.0,192800000,1.03,0.97,FTV,2020-04-30
5295,2Q2019,3706000000.0,227000000,0.24,0.32,GPS,2020-04-30
5296,3Q2019,4005000000.0,168000000,0.63,0.53,GPS,2020-04-30
5297,4Q2019,3998000000.0,140000000,0.53,0.51,GPS,2020-04-30
5298,1Q2020,4674000000.0,-184000000,0.58,0.41,GPS,2020-04-30
5299,2Q2019,1090000000.0,153000000,1.22,0.98,KEYS,2020-04-30
5300,3Q2019,1087000000.0,159000000,1.25,1.02,KEYS,2020-04-30
5301,4Q2019,1120000000.0,195000000,1.33,1.18,KEYS,2020-04-30
5302,1Q2020,1095000000.0,163000000,1.26,1.07,KEYS,2020-04-30
5303,2Q2019,3796642000.0,421142000,1.15,1.12,ROST,2020-04-30
5304,3Q2019,3979869000.0,412721000,1.14,1.12,ROST,2020-04-30
5305,4Q2019,3849117000.0,370932000,1.03,0.97,ROST,2020-04-30
5306,1Q2020,4413445000.0,456133000,1.28,1.25,ROST,2020-04-30
5307,2Q2019,1526602000.0,367937000,1.36,1.3,ADI,2020-04-30
5308,3Q2019,1480143000.0,362374000,1.26,1.22,ADI,2020-04-30
5309,4Q2019,1443219000.0,277694000,1.19,1.22,ADI,2020-04-30
5310,1Q2020,1303565000.0,203874000,1.03,1.0,ADI,2020-04-30
5311,2Q2019,32071000000.0,3944000000,1.23,1.2,VZ,2020-04-30
5312,3Q2019,32894000000.0,5194000000,1.25,1.24,VZ,2020-04-30
5313,4Q2019,34775000000.0,5095000000,1.13,1.14,VZ,2020-04-30
5314,1Q2020,31610000000.0,4156000000,1.26,1.22,VZ,2020-04-30
5315,2Q2019,3737000000.0,392000000,0.93,0.61,CRM,2020-04-30
5316,3Q2019,3997000000.0,91000000,0.66,0.47,CRM,2020-04-30
5317,4Q2019,4513000000.0,-109000000,0.75,0.66,CRM,2020-04-30
5318,1Q2020,4851000000.0,-248000000,0.66,0.55,CRM,2020-04-30
5319,1Q2019,10443000000.0,426000000,1.2,1.14,TSN,2020-04-30
5320,2Q2019,10885000000.0,676000000,1.47,1.41,TSN,2020-04-30
5321,3Q2019,10884000000.0,369000000,1.21,1.29,TSN,2020-04-30
5322,4Q2019,10815000000.0,557000000,1.66,1.65,TSN,2020-04-30
5323,2Q2019,2125900000.0,169500000,0.46,0.44,IPG,2020-04-30
5324,3Q2019,2061400000.0,165600000,0.49,0.47,IPG,2020-04-30
5325,4Q2019,2433000000.0,328900000,0.88,0.83,IPG,2020-04-30
5326,1Q2020,1972100000.0,4700000,0.11,0.09,IPG,2020-04-30
5327,2Q2019,2783006000.0,405949000,15.99,15.14,AZO,2020-04-30
5328,3Q2019,3988436000.0,565229000,22.59,21.8,AZO,2020-04-30
5329,4Q2019,2793038000.0,350338000,14.3,13.74,AZO,2020-04-30
5330,1Q2020,2513663000.0,299282000,12.39,11.75,AZO,2020-04-30
5331,1Q2019,4195000000.0,20000000,2.59,2.58,BDX,2020-04-30
5332,2Q2019,4350000000.0,451000000,3.08,3.05,BDX,2020-04-30
5333,3Q2019,4584000000.0,162000000,3.31,3.3,BDX,2020-04-30
5334,4Q2019,4225000000.0,278000000,2.65,2.63,BDX,2020-04-30
5335,2Q2019,3972600000.0,386300000,1.52,1.4,PFG,2020-04-30
5336,3Q2019,4458400000.0,277100000,1.23,1.46,PFG,2020-04-30
5337,4Q2019,4047200000.0,300900000,1.41,1.39,PFG,2020-04-30
5338,1Q2020,4551300000.0,288900000,1.15,1.14,PFG,2020-04-30
5339,2Q2019,1795700000.0,143400000,1.72,1.68,AVY,2020-04-30
5340,3Q2019,1761400000.0,144600000,1.66,1.61,AVY,2020-04-30
5341,4Q2019,1772900000.0,162500000,1.73,1.69,AVY,2020-04-30
5342,1Q2020,1723000000.0,134200000,1.66,1.5,AVY,2020-04-30
5343,1Q2019,4083058000.0,635426000,1.19,1.02,EOG,2020-04-30
5344,2Q2019,4512321000.0,847841000,1.31,1.32,EOG,2020-04-30
5345,3Q2019,4218076000.0,615122000,1.13,1.13,EOG,2020-04-30
5346,4Q2019,4262630000.0,636521000,1.35,1.15,EOG,2020-04-30
5347,1Q2019,1882100000.0,334100000,,,AJG,2020-04-30
5348,2Q2019,1603200000.0,110100000,0.65,0.61,AJG,2020-04-30
5349,3Q2019,1766200000.0,126100000,0.8,0.79,AJG,2020-04-30
5350,4Q2019,1645600000.0,98500000,0.58,0.52,AJG,2020-04-30
5351,2Q2019,9635000000.0,2149000000,0.8,0.75,QCOM,2020-04-30
5352,3Q2019,4814000000.0,506000000,0.78,0.71,QCOM,2020-04-30
5353,4Q2019,5077000000.0,925000000,0.99,0.85,QCOM,2020-04-30
5354,1Q2020,5216000000.0,468000000,0.88,0.78,QCOM,2020-04-30
5355,2Q2019,5930000000.0,75000000,0.35,0.3,HAL,2020-04-30
5356,3Q2019,5550000000.0,295000000,0.34,0.34,HAL,2020-04-30
5357,4Q2019,5191000000.0,-1653000000,0.32,0.29,HAL,2020-04-30
5358,1Q2020,5037000000.0,-1017000000,0.31,0.24,HAL,2020-04-30
5359,1Q2019,1380434000.0,549309000,1.78,1.67,SPG,2020-04-30
5360,2Q2019,1393986000.0,496158000,1.6,1.65,SPG,2020-04-30
5361,3Q2019,1414954000.0,545088000,1.77,1.69,SPG,2020-04-30
5362,4Q2019,1487315000.0,511028000,1.66,1.56,SPG,2020-04-30
5363,1Q2019,1224800000.0,172200000,1.59,1.5,BR,2020-04-30
5364,2Q2019,1211200000.0,183300000,1.72,1.71,BR,2020-04-30
5365,3Q2019,948600000.0,55900000,0.68,0.71,BR,2020-04-30
5366,4Q2019,968700000.0,10100000,0.53,0.71,BR,2020-04-30
5367,1Q2019,1662000000.0,-47000000,0.1,0.12,APA,2020-04-30
5368,2Q2019,1594000000.0,-360000000,0.11,0.06,APA,2020-04-30
5369,3Q2019,1479000000.0,-170000000,-0.29,-0.19,APA,2020-04-30
5370,4Q2019,1478000000.0,-2976000000,0.08,-0.06,APA,2020-04-30
5371,2Q2019,12536000000.0,1443000000,2.35,2.28,DAL,2020-04-30
5372,3Q2019,12560000000.0,1495000000,2.32,2.26,DAL,2020-04-30
5373,4Q2019,11439000000.0,1098000000,1.7,1.4,DAL,2020-04-30
5374,1Q2020,8592000000.0,-534000000,-0.51,-0.7,DAL,2020-04-30
5375,1Q2019,3744000000.0,555000000,1.55,1.3,EL,2020-04-30
5376,2Q2019,3590000000.0,157000000,0.64,0.53,EL,2020-04-30
5377,3Q2019,3895000000.0,595000000,1.67,1.6,EL,2020-04-30
5378,4Q2019,4624000000.0,557000000,2.11,1.9,EL,2020-04-30
5379,2Q2019,2881700000.0,190400000,2.93,2.92,LH,2020-04-30
5380,3Q2019,2928500000.0,220700000,2.9,2.85,LH,2020-04-30
5381,4Q2019,2953400000.0,227100000,2.86,2.8,LH,2020-04-30
5382,1Q2020,2823800000.0,-317200000,2.37,1.95,LH,2020-04-30
5383,2Q2019,1810706000.0,198085000,1.56,1.53,DOV,2020-04-30
5384,3Q2019,1825345000.0,206006000,1.6,1.51,DOV,2020-04-30
5385,4Q2019,1775589000.0,168122000,1.54,1.45,DOV,2020-04-30
5386,1Q2020,1655939000.0,176279000,1.39,1.21,DOV,2020-04-30
5387,1Q2019,34189000000.0,2649000000,1.47,1.3,CVX,2020-04-30
5388,2Q2019,36323000000.0,4305000000,1.77,1.8,CVX,2020-04-30
5389,3Q2019,34779000000.0,2580000000,1.55,1.45,CVX,2020-04-30
5390,4Q2019,34574000000.0,-6610000000,1.49,1.45,CVX,2020-04-30
5391,2Q2019,1516385000.0,114612000,0.98,0.98,RHI,2020-04-30
5392,3Q2019,1552132000.0,117181000,1.01,1.0,RHI,2020-04-30
5393,4Q2019,1537385000.0,112842000,0.98,0.98,RHI,2020-04-30
5394,1Q2020,1506691000.0,89915000,0.79,0.77,RHI,2020-04-30
5395,1Q2019,2707000000.0,384000000,0.87,0.79,DISCA,2020-04-30
5396,2Q2019,2885000000.0,947000000,0.97,1.06,DISCA,2020-04-30
5397,3Q2019,2678000000.0,262000000,0.87,0.82,DISCA,2020-04-30
5398,4Q2019,2874000000.0,476000000,0.98,0.92,DISCA,2020-04-30
5399,1Q2019,2442490000.0,121585000,2.13,2.08,MHK,2020-04-30
5400,2Q2019,2584485000.0,202441000,2.89,2.87,MHK,2020-04-30
5401,3Q2019,2519185000.0,155518000,2.75,2.63,MHK,2020-04-30
5402,4Q2019,2424512000.0,264667000,2.25,2.2,MHK,2020-04-30
5403,1Q2019,3858000000.0,-680000000,1.1,1.11,D,2020-04-30
5404,2Q2019,3970000000.0,54000000,0.77,0.76,D,2020-04-30
5405,3Q2019,4269000000.0,975000000,1.18,1.14,D,2020-04-30
5406,4Q2019,4475000000.0,1009000000,1.18,1.16,D,2020-04-30
5407,1Q2019,4128000000.0,667000000,0.78,0.68,PYPL,2020-04-30
5408,2Q2019,4305000000.0,823000000,0.86,0.74,PYPL,2020-04-30
5409,3Q2019,4378000000.0,462000000,0.61,0.52,PYPL,2020-04-30
5410,4Q2019,4961000000.0,507000000,0.86,0.83,PYPL,2020-04-30
5411,1Q2019,2609584000.0,254537000,0.82,0.98,ETR,2020-04-30
5412,2Q2019,2666209000.0,236424000,1.35,1.37,ETR,2020-04-30
5413,3Q2019,3140575000.0,365240000,2.52,2.29,ETR,2020-04-30
5414,4Q2019,2462306000.0,385025000,0.68,0.66,ETR,2020-04-30
5415,2Q2019,27523000000.0,612000000,1.51,1.37,VLO,2020-04-30
5416,3Q2019,25850000000.0,609000000,1.48,1.35,VLO,2020-04-30
5417,4Q2019,26423000000.0,1060000000,2.13,1.62,VLO,2020-04-30
5418,1Q2020,22102000000.0,-1851000000,0.34,-0.15,VLO,2020-04-30
5419,2Q2019,4684000000.0,604000000,0.97,0.94,EMR,2020-04-30
5420,3Q2019,4971000000.0,717000000,1.16,1.08,EMR,2020-04-30
5421,4Q2019,4151000000.0,326000000,0.67,0.67,EMR,2020-04-30
5422,1Q2020,4162000000.0,517000000,0.89,0.74,EMR,2020-04-30
5423,1Q2019,1593617000.0,-4472000,1.06,0.85,WAB,2020-04-30
5424,2Q2019,2236284000.0,104235000,1.06,0.97,WAB,2020-04-30
5425,3Q2019,2001700000.0,91100000,1.03,1.01,WAB,2020-04-30
5426,4Q2019,2368400000.0,135700000,1.04,1.05,WAB,2020-04-30
5427,2Q2019,1953000000.0,226000000,1.73,1.68,DGX,2020-04-30
5428,3Q2019,1956000000.0,215000000,1.76,1.71,DGX,2020-04-30
5429,4Q2019,1926000000.0,253000000,1.67,1.6,DGX,2020-04-30
5430,1Q2020,1822000000.0,99000000,0.94,0.89,DGX,2020-04-30
5431,2Q2019,1902100000.0,71500000,2.08,1.95,SJM,2020-04-30
5432,3Q2019,1778900000.0,154600000,1.58,1.74,SJM,2020-04-30
5433,4Q2019,1957800000.0,211200000,2.26,2.13,SJM,2020-04-30
5434,1Q2020,1972300000.0,187400000,2.35,2.23,SJM,2020-04-30
5435,2Q2019,123925000000.0,3842000000,1.13,1.02,WMT,2020-04-30
5436,3Q2019,130377000000.0,3610000000,1.27,1.22,WMT,2020-04-30
5437,4Q2019,127991000000.0,3288000000,1.16,1.09,WMT,2020-04-30
5438,1Q2020,141671000000.0,4141000000,1.38,1.43,WMT,2020-04-30
5439,1Q2019,720868000.0,60891000,,,HP,2020-04-30
5440,2Q2019,687974000.0,-154683000,0.4,0.35,HP,2020-04-30
5441,3Q2019,649050000.0,41177000,0.38,0.23,HP,2020-04-30
5442,4Q2019,614657000.0,30605000,0.13,0.08,HP,2020-04-30
5443,1Q2019,541988000.0,194022000,0.95,0.27,VNO,2020-04-30
5444,2Q2019,485976000.0,2412727000,12.56,0.23,VNO,2020-04-30
5445,3Q2019,491907000.0,335438000,1.69,0.74,VNO,2020-04-30
5446,4Q2019,483694000.0,205750000,1.01,0.87,VNO,2020-04-30
5447,1Q2019,1035000000.0,-313000000,-0.09,-0.06,NBL,2020-04-30
5448,2Q2019,1077000000.0,-10000000,-0.1,-0.12,NBL,2020-04-30
5449,3Q2019,1109000000.0,17000000,-0.1,-0.11,NBL,2020-04-30
5450,4Q2019,1166000000.0,-1206000000,-0.05,-0.08,NBL,2020-04-30
5451,1Q2019,11206000000.0,253000000,1.11,1.42,CHTR,2020-04-30
5452,2Q2019,11347000000.0,314000000,1.39,1.85,CHTR,2020-04-30
5453,3Q2019,11450000000.0,387000000,1.74,1.67,CHTR,2020-04-30
5454,4Q2019,11761000000.0,714000000,3.28,2.49,CHTR,2020-04-30
5455,1Q2019,2377400000.0,420100000,1.33,1.25,WEC,2020-04-30
5456,2Q2019,1590200000.0,235700000,0.74,0.7,WEC,2020-04-30
5457,3Q2019,1608000000.0,234300000,0.74,0.71,WEC,2020-04-30
5458,4Q2019,1947500000.0,243900000,0.77,0.72,WEC,2020-04-30
5459,2Q2019,1431061000.0,126969000,0.66,0.64,CERN,2020-04-30
5460,3Q2019,1429428000.0,81935000,0.66,0.66,CERN,2020-04-30
5461,4Q2019,1442232000.0,154331000,0.75,0.74,CERN,2020-04-30
5462,1Q2020,1411741000.0,147159000,0.71,0.7,CERN,2020-04-30
5463,2Q2019,385558000.0,125690000,1.54,1.51,MSCI,2020-04-30
5464,3Q2019,394251000.0,136983000,1.68,1.59,MSCI,2020-04-30
5465,4Q2019,406606000.0,122783000,1.67,1.61,MSCI,2020-04-30
5466,1Q2020,416780000.0,148125000,1.9,1.68,MSCI,2020-04-30
5467,2Q2019,798176000.0,222564000,1.24,1.27,FRC,2020-04-30
5468,3Q2019,820481000.0,234844000,1.31,1.21,FRC,2020-04-30
5469,4Q2019,867884000.0,246330000,1.39,1.27,FRC,2020-04-30
5470,1Q2020,868079000.0,218686000,1.2,1.02,FRC,2020-04-30
5471,2Q2019,809000000.0,298000000,1.94,2.0,CMA,2020-04-30
5472,3Q2019,807000000.0,292000000,1.96,1.9,CMA,2020-04-30
5473,4Q2019,802000000.0,269000000,1.85,1.74,CMA,2020-04-30
5474,1Q2020,339000000.0,-65000000,-0.46,0.95,CMA,2020-04-30
5475,2Q2019,9997000000.0,2607000000,0.63,0.61,KO,2020-04-30
5476,3Q2019,9507000000.0,2593000000,0.56,0.56,KO,2020-04-30
5477,4Q2019,9068000000.0,2042000000,0.44,0.44,KO,2020-04-30
5478,1Q2020,8601000000.0,2775000000,0.51,0.44,KO,2020-04-30
5479,2Q2019,38944000000.0,9947000000,14.21,11.33,GOOG,2020-04-30
5480,3Q2019,40499000000.0,7068000000,10.12,12.46,GOOG,2020-04-30
5481,4Q2019,46075000000.0,10671000000,15.35,12.59,GOOG,2020-04-30
5482,1Q2020,41159000000.0,6836000000,9.87,10.38,GOOG,2020-04-30
5483,2Q2019,1060666000.0,174072000,1.44,1.41,ODFL,2020-04-30
5484,3Q2019,1048457000.0,164099000,1.37,1.41,ODFL,2020-04-30
5485,4Q2019,1009206000.0,144024000,1.2,1.18,ODFL,2020-04-30
5486,1Q2020,987364000.0,133177000,1.17,1.12,ODFL,2020-04-30
5487,1Q2019,1142100000.0,372900000,,,MCO,2020-04-30
5488,2Q2019,1213600000.0,310300000,2.07,2.0,MCO,2020-04-30
5489,3Q2019,1240500000.0,379400000,2.15,2.0,MCO,2020-04-30
5490,4Q2019,1232800000.0,359400000,2.0,1.93,MCO,2020-04-30
5491,2Q2019,2332443000.0,877909000,4.32,4.14,HRB,2020-04-30
5492,3Q2019,150362000.0,-150247000,-0.66,-0.75,HRB,2020-04-30
5493,4Q2019,160801000.0,-187999000,-0.85,-0.92,HRB,2020-04-30
5494,1Q2020,519205000.0,-129683000,-0.59,-0.55,HRB,2020-04-30
5495,2Q2019,3932000000.0,1017000000,1.01,0.95,BK,2020-04-30
5496,3Q2019,3877000000.0,1038000000,1.07,0.99,BK,2020-04-30
5497,4Q2019,4786000000.0,1440000000,1.01,1.01,BK,2020-04-30
5498,1Q2020,3939000000.0,980000000,1.05,0.9,BK,2020-04-30
5499,2Q2019,9142000000.0,265000000,1.02,0.86,BBY,2020-04-30
5500,3Q2019,9536000000.0,238000000,1.08,0.99,BBY,2020-04-30
5501,4Q2019,9764000000.0,293000000,1.13,1.03,BBY,2020-04-30
5502,1Q2020,15196000000.0,745000000,2.9,2.75,BBY,2020-04-30
5503,1Q2019,3597100000.0,-2408000000,3.79,3.55,AGN,2020-04-30
5504,2Q2019,4090100000.0,-1759000000,4.38,4.35,AGN,2020-04-30
5505,3Q2019,4050700000.0,-786800000,4.25,4.22,AGN,2020-04-30
5506,4Q2019,4351000000.0,-317200000,5.22,4.57,AGN,2020-04-30
5507,2Q2019,2744280000.0,632593000,1.83,1.78,ADBE,2020-04-30
5508,3Q2019,2834126000.0,792763000,2.05,1.97,ADBE,2020-04-30
5509,4Q2019,2991945000.0,851861000,2.29,2.26,ADBE,2020-04-30
5510,1Q2020,3091000000.0,955000000,2.27,2.23,ADBE,2020-04-30
5511,2Q2019,1130461000.0,186566000,1.67,1.65,GL,2020-04-30
5512,3Q2019,1141279000.0,201818000,1.73,1.69,GL,2020-04-30
5513,4Q2019,1136576000.0,187061000,1.7,1.72,GL,2020-04-30
5514,1Q2020,1164908000.0,165540000,1.73,1.71,GL,2020-04-30
5515,2Q2019,1135500000.0,149800000,0.71,0.65,INFO,2020-04-30
5516,3Q2019,1112300000.0,40100000,0.67,0.63,INFO,2020-04-30
5517,4Q2019,1120400000.0,203100000,0.65,0.61,INFO,2020-04-30
5518,1Q2020,1080800000.0,485000000,0.66,0.64,INFO,2020-04-30
5519,1Q2019,2020051000.0,139699000,0.8,0.84,EXPD,2020-04-30
5520,2Q2019,2035579000.0,153149000,0.88,0.81,EXPD,2020-04-30
5521,3Q2019,2074855000.0,160221000,0.92,0.91,EXPD,2020-04-30
5522,4Q2019,2044941000.0,137326000,0.79,0.85,EXPD,2020-04-30
5523,2Q2019,735500000.0,-24200000,0.45,0.47,ADSK,2020-04-30
5524,3Q2019,796800000.0,40200000,0.65,0.61,ADSK,2020-04-30
5525,4Q2019,842700000.0,66700000,0.78,0.72,ADSK,2020-04-30
5526,1Q2020,899300000.0,131800000,0.92,0.89,ADSK,2020-04-30
5527,1Q2019,7828000000.0,2456000000,2.14,2.05,ABBV,2020-04-30
5528,2Q2019,8255000000.0,741000000,2.26,2.21,ABBV,2020-04-30
5529,3Q2019,8479000000.0,1884000000,2.33,2.3,ABBV,2020-04-30
5530,4Q2019,8704000000.0,2801000000,2.21,2.19,ABBV,2020-04-30
5531,2Q2019,3546000000.0,-72000000,-0.04,-0.05,FCX,2020-04-30
5532,3Q2019,3153000000.0,-207000000,-0.01,-0.01,FCX,2020-04-30
5533,4Q2019,3911000000.0,9000000,0.02,0.0,FCX,2020-04-30
5534,1Q2020,2798000000.0,-491000000,-0.17,-0.18,FCX,2020-04-30
5535,1Q2019,878305000.0,42853000,0.68,0.34,MLM,2020-04-30
5536,2Q2019,1196135000.0,189475000,3.01,3.18,MLM,2020-04-30
5537,3Q2019,1323160000.0,248573000,3.96,3.51,MLM,2020-04-30
5538,4Q2019,1024701000.0,130999000,2.09,2.19,MLM,2020-04-30
5539,2Q2019,25466000000.0,1139000000,4.64,4.61,ANTM,2020-04-30
5540,3Q2019,26674000000.0,1183000000,4.87,4.82,ANTM,2020-04-30
5541,4Q2019,27406000000.0,934000000,3.88,3.88,ANTM,2020-04-30
5542,1Q2020,29621000000.0,1523000000,6.48,6.49,ANTM,2020-04-30
5543,2Q2019,563394000.0,85905000,2.52,2.56,FFIV,2020-04-30
5544,3Q2019,590388000.0,94837000,2.59,2.55,FFIV,2020-04-30
5545,4Q2019,569305000.0,98527000,2.55,2.43,FFIV,2020-04-30
